time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MachineLearningTrader,f395ffa0bec74238868a61dade278972,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MachineLearningTrader,f395ffa0bec74238868a61dade278972,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MachineLearningTrader,eac2c1c654354d37b41e00148f906e53,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MachineLearningTrader,c43d4b472e5d48979f53548c4260efaf,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MachineLearningTrader,00e76425996944698a62d27be2cf28b1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MachineLearningTrader,00e76425996944698a62d27be2cf28b1,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119.0,0.0
2023-06-06 09:30:00-04:00,MachineLearningTrader,459c1365953742ddb436830d0c37fb91,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,94a3283cffa54f9e8b3515a09f647d65,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,7ca3e069dc9841bf930e9d3812c3c19b,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,689b6a900b7b44f3a6982c62c95e561e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,7ca3e069dc9841bf930e9d3812c3c19b,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,119.0,0.0
